epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,2493.73,0.83385,0.57181,1.09078,0.90465,0.91819,0.9539,0.736,0.85303,0.53517,1.13695,0.000740738,0.000740738,0.000740738
173,2508.13,0.83112,0.57803,1.09937,0.88753,0.92473,0.95643,0.73615,0.83534,0.54185,1.10325,0.000737998,0.000737998,0.000737998
174,2522.57,0.83109,0.57575,1.08596,0.93118,0.90323,0.97161,0.75723,0.80611,0.51887,1.10316,0.00073525,0.00073525,0.00073525
175,2537.01,0.8337,0.58447,1.10022,0.9281,0.90224,0.96903,0.76566,0.80438,0.49778,1.09938,0.000732492,0.000732492,0.000732492
176,2551.46,0.82238,0.58039,1.09569,0.89827,0.94948,0.97638,0.76337,0.82255,0.4774,1.11012,0.000729725,0.000729725,0.000729725
177,2565.96,0.83276,0.57334,1.08776,0.92189,0.91935,0.9665,0.75277,0.8394,0.51904,1.11244,0.00072695,0.00072695,0.00072695
178,2580.42,0.83559,0.58733,1.091,0.89135,0.9262,0.94872,0.73819,0.85814,0.53844,1.13764,0.000724165,0.000724165,0.000724165
179,2594.86,0.82848,0.57582,1.0933,0.91386,0.91259,0.95185,0.73301,0.86951,0.52094,1.15048,0.000721372,0.000721372,0.000721372
180,2609.26,0.82564,0.57103,1.09099,0.92704,0.89247,0.95736,0.77388,0.7887,0.53467,1.108,0.000718571,0.000718571,0.000718571
181,2623.75,0.82961,0.58022,1.09219,0.90907,0.91374,0.95855,0.76072,0.80711,0.54744,1.11236,0.000715761,0.000715761,0.000715761
