epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,6640.44,0.95273,0.7011,1.23048,0.91876,0.91398,0.94948,0.73968,0.74385,0.46725,1.08008,0.000894213,0.000894213,0.000894213
108,6702.09,0.96228,0.70589,1.22783,0.90555,0.92784,0.95265,0.74716,0.74221,0.46928,1.06364,0.000892283,0.000892283,0.000892283
109,6764.62,0.95526,0.70391,1.23245,0.93048,0.91398,0.95275,0.73317,0.74588,0.47032,1.08933,0.000890339,0.000890339,0.000890339
110,6826.28,0.97274,0.71326,1.24041,0.90798,0.9086,0.9581,0.74346,0.70696,0.45249,1.07771,0.000888379,0.000888379,0.000888379
111,6888.64,0.9361,0.67979,1.21793,0.91596,0.93758,0.96064,0.74823,0.72192,0.44444,1.07198,0.000886404,0.000886404,0.000886404
112,6950.4,0.95629,0.70184,1.23138,0.90859,0.92473,0.94904,0.74293,0.73235,0.45696,1.06494,0.000884414,0.000884414,0.000884414
113,7012.74,0.93479,0.67514,1.21613,0.92766,0.91398,0.94803,0.7555,0.67625,0.43659,1.05216,0.000882409,0.000882409,0.000882409
114,7074.54,0.95103,0.69093,1.22731,0.93658,0.90323,0.95032,0.73111,0.74437,0.4716,1.09454,0.000880389,0.000880389,0.000880389
115,7136.9,0.93453,0.684,1.21522,0.95321,0.87616,0.9562,0.7246,0.79084,0.46671,1.11982,0.000878354,0.000878354,0.000878354
116,7198.56,0.92084,0.67057,1.21267,0.92043,0.93011,0.96123,0.74207,0.78281,0.44851,1.10722,0.000876305,0.000876305,0.000876305
117,7260.93,0.93633,0.68572,1.21504,0.90413,0.93548,0.95478,0.75764,0.7262,0.44864,1.07754,0.000874241,0.000874241,0.000874241
118,7322.67,0.92215,0.67063,1.2124,0.91991,0.92634,0.9604,0.74057,0.7503,0.45846,1.07202,0.000872162,0.000872162,0.000872162
119,7385.02,0.9112,0.67466,1.20441,0.91306,0.93548,0.95854,0.75468,0.71063,0.44422,1.06521,0.000870069,0.000870069,0.000870069
120,7446.72,0.93231,0.67935,1.21824,0.92592,0.9408,0.96464,0.75316,0.74365,0.44027,1.07937,0.000867961,0.000867961,0.000867961
121,7509.1,0.91622,0.66006,1.20586,0.93419,0.90323,0.95474,0.74173,0.73258,0.45443,1.06933,0.000865839,0.000865839,0.000865839
122,7570.77,0.91677,0.67216,1.20592,0.91988,0.91935,0.96148,0.74145,0.7467,0.45554,1.07354,0.000863703,0.000863703,0.000863703
123,7633.12,0.9035,0.64846,1.18993,0.93835,0.89247,0.95302,0.75109,0.7217,0.44917,1.0675,0.000861553,0.000861553,0.000861553
124,7694.72,0.91201,0.66456,1.20713,0.91678,0.91935,0.94856,0.73706,0.73405,0.46048,1.07432,0.000859389,0.000859389,0.000859389
125,7757.08,0.91387,0.67163,1.202,0.92743,0.9086,0.95026,0.74701,0.74237,0.4678,1.04971,0.00085721,0.00085721,0.00085721
126,7818.8,0.90846,0.67421,1.19442,0.92286,0.92473,0.95561,0.75789,0.67334,0.41303,1.04081,0.000855018,0.000855018,0.000855018
127,7881.31,0.89868,0.65671,1.20062,0.92229,0.9086,0.95676,0.76109,0.69742,0.42743,1.04968,0.000852812,0.000852812,0.000852812
